FunctionalName,DataType,FilePath,JSONColumnName,SRCSideLogic,ON,TGTSideLogic,TableColumnName
clock_speed_mhz,varchar2(512),path,$.Clock_Speed_Mhz,null,on,error,clock_speed_mhz
cores,varchar2(512),path,$.Cores,null,on,error,cores
cpu_model,varchar2(512),path,$.CPU_Model,null,on,error,cpu_model
created_at_date,varchar2(512),path,$.Created_at_date,null,on,error,created_at_date
description,varchar2(512),path,$.Description,null,on,error,description
height,varchar2(512),path,$.Height,null,on,error,height
link_duplex,varchar2(512),path,$.Link_Duplex,null,on,error,link_duplex
link_speed,varchar2(512),path,$.Link_Speed,null,on,error,link_speed
link_unit,varchar2(512),path,$.Link_Unit,null,on,error,link_unit
memory_storage_type,varchar2(512),path,$.Memory_Storage_Type,null,on,error,memory_storage_type
oracle_part_no,varchar2(512),path,$.Oracle_Part_No,null,on,error,oracle_part_no
platform,varchar2(512),path,$.Platform,null,on,error,platform
procurement_ready,varchar2(512),path,$.Procurement_ready,null,on,error,procurement_ready
serial_control,varchar2(512),path,$.Serial_Control,null,on,error,serial_control
size_bytes,varchar2(512),path,$.Size_Bytes,null,on,error,size_bytes
storage_protocol,varchar2(512),path,$.Storage_Protocol,null,on,error,storage_protocol
ype,varchar2(512),path,$.Type,null,on,error,type
updated_at_date,varchar2(512),path,$.Updated_at_date,null,on,error,updated_at_date
