FunctionalName,DataType,FilePath,JSONColumnName,SRCSideLogic,ON,TGTSideLogic,TableColumnName
activation_status,varchar2(512),path,$.ACTIVATION_STATUS,null,on,error,activation_status,
activation_status_updated_at,varchar2(512),path,$.ACTIVATION_STATUS_UPDATED_AT,null,on,error,activation_status_updated_at,
actual_serial_no,varchar2(512),path,$.ACTUAL_SERIAL_NO,null,on,error,actual_serial_no,
ad_canonical_short_code,varchar2(512),path,$.AD_CANONICAL_SHORT_CODE,null,on,error,ad_canonical_short_code,
ad_name,varchar2(512),path,$.AD_NAME,null,on,error,ad_name,
block_name,varchar2(512),path,$.BLOCK_NAME,null,on,error,block_name,
block_network_ports,varchar2(512),path,$.BLOCK_NETWORK_PORTS,null,on,error,block_network_ports,
building_canonical_name,varchar2(512),path,$.BUILDING_CANONICAL_NAME,null,on,error,building_canonical_name,
building_name,varchar2(512),path,$.BUILDING_NAME,null,on,error,building_name,
comments,varchar2(512),path,$.COMMENTS,null,on,error,comments,
created_at_date,varchar2(512),path,$.Created_at_date,null,on,error,created_at_date
infra_status_updated_at,varchar2(512),path,$.INFRA_STATUS_UPDATED_AT,null,on,error,infra_status_updated_at,
infrastructure_status,varchar2(512),path,$.INFRASTRUCTURE_STATUS,null,on,error,infrastructure_status,
kva_raiting,varchar2(512),path,$.KVA_RAITING,null,on,error,kva_raiting,
network_ports_allocation,varchar2(512),path,$.NETWORK_PORTS_ALLOCATION,null,on,error,network_ports_allocation,
pdu_a_room_name,varchar2(512),path,$.PDU_A_ROOM_NAME,null,on,error,pdu_a_room_name,
pdu_b_room_name,varchar2(512),path,$.PDU_B_ROOM_NAME,null,on,error,pdu_b_room_name,
pdu_c_room_name,varchar2(512),path,$.PDU_C_ROOM_NAME,null,on,error,pdu_c_room_name,
pdu_d_room_name,varchar2(512),path,$.PDU_D_ROOM_NAME,null,on,error,pdu_d_room_name,
pdu_panel_a,varchar2(512),path,$.PDU_PANEL_A,null,on,error,pdu_panel_a,
pdu_panel_b,varchar2(512),path,$.PDU_PANEL_B,null,on,error,pdu_panel_b,
pdu_panel_c,varchar2(512),path,$.PDU_PANEL_C,null,on,error,pdu_panel_c,
pdu_panel_d,varchar2(512),path,$.PDU_PANEL_D,null,on,error,pdu_panel_d,
platform,varchar2(512),path,$.PLATFORM,null,on,error,platform,
pod_number,varchar2(512),path,$.POD_NUMBER,null,on,error,pod_number
power_allocation,varchar2(512),path,$.POWER_ALLOCATION,null,on,error,power_allocation,
power_status,varchar2(512),path,$.POWER_STATUS,null,on,error,power_status,
power_status_updated_at,varchar2(512),path,$.POWER_STATUS_UPDATED_AT,null,on,error,power_status_updated_at,
rack_number,varchar2(512),path,$.RACK_NUMBER,null,on,error,rack_number,
region_canonical_name,varchar2(512),path,$.REGION_CANONICAL_NAME,null,on,error,region_canonical_name,
reservation_status,varchar2(512),path,$.RESERVATION_STATUS,null,on,error,reservation_status,
reservation_time,varchar2(512),path,$.RESERVATION_TIME,null,on,error,reservation_time,
room_canonical_name,varchar2(512),path,$.ROOM_CANONICAL_NAME,null,on,error,room_canonical_name
room_name,varchar2(512),path,$.ROOM_NAME,null,on,error,room_name,
room_power_kw,varchar2(512),path,$.ROOM_POWER_KW,null,on,error,room_power_kw,
row_name,varchar2(512),path,$.ROW_NAME,null,on,error,row_name,
serial_no,varchar2(512),path,$.SERIAL_NO,null,on,error,serial_no,
stranded,varchar2(512),path,$.STRANDED,null,on,error,stranded,
stranded_reasons,varchar2(512),path,$.STRANDED_REASONS,null,on,error,stranded_reasons,
stranded_updated_at,varchar2(512),path,$.STRANDED_UPDATED_AT,null,on,error,stranded_updated_at,
icket_id,varchar2(512),path,$.TICKET_ID,null,on,error,ticket_id,
updated_at_date,varchar2(512),path,$.Updated_at_date,null,on,error,updated_at_date
whips_count,varchar2(512),path,$.WHIPS_COUNT,null,on,error,whips_count,
